owner,owner_flag,status,status_flag,pipe_type,pipe_type_flag,width,width_flag,ds_width,ds_width_flag,pipe_material,pipe_material_flag,ds_pipe_material,ds_pipe_material_flag,lining_type,lining_type_flag,ds_lining_type,ds_lining_type_flag,lining_material,lining_material_flag,ds_lining_material,ds_lining_material_flag,length,length_flag,current_value,current_value_flag,replace_cost,replace_cost_flag,lifetime,lifetime_flag,year_laid,year_laid_flag,pipe_class,pipe_class_flag,asset_id,asset_id_flag,user_text_30,user_text_30_flag,user_text_35,user_text_35_flag,user_text_40,user_text_40_flag
WCC,IF,INUS,CONF,WWRM,CONF,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,15.594,#D,3179.74,OP14,4542.49,OP14,80,OP14,1/01/1990,CONF,,,WWP005240,IN,PS53,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CSEA,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,26.652,#D,5434.55,OP14,7763.65,OP14,80,OP14,1/01/1990,CONF,,,WWP005241,IN,PS53,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,19.989,#D,4075.92,OP14,5822.74,OP14,80,OP14,1/01/1990,CONF,,,WWP006472,IN,PS81,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,150,CONF,150,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,86.05,#D,26972.68,OP14,38532.39,OP14,80,OP14,1/01/1990,CONF,SDR17,,WWP006524,IN,PS33,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,250,CONF,250,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,6.779,#D,281502.69,OP14,378945.92,OP14,70,OP14,1/01/1996,CONF,,,WWP040334,KOKE,PS25,RMCO,1,,,
WCC,IF,INUS,CONF,WWRM,CONF,250,CONF,250,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,92.579,#D,281502.69,OP14,378945.92,OP14,70,OP14,1/01/1996,CONF,,,WWP040329,KOKE,PS25,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,250,CONF,250,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,528.21,#D,281502.69,OP14,378945.92,OP14,70,OP14,1/01/1996,CONF,,,WWP006679,IN,PS25,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,200,CONF,200,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,113.985,#D,38212.44,OP14,59941.08,OP14,80,OP14,1/01/1985,CONF,,,WWP008752,IN,PS27,RMCO,1,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,4.386,#D,3562.64,OP14,5480.98,OP14,60,OP14,1/01/1993,CONF,,,WWP008829,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,39.997,#D,32488.57,OP14,49982.41,OP14,60,OP14,1/01/1993,CONF,,,WWP011290,IN,PS38,RMCO,1,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,49.996,#D,40610.51,OP14,62477.7,OP14,60,OP14,1/01/1993,CONF,,,WWP011291,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,36.197,#D,22616.86,OP14,45233.73,OP14,60,OP14,1/01/1975,HARM,,,WWP011292,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,147.089,#D,119476.73,OP14,183810.36,OP14,60,OP14,1/01/1993,CONF,,,WWP011306,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,29.997,#D,24365.82,OP14,37485.87,OP14,60,OP14,1/01/1993,CONF,,,WWP011307,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,50,CONF,50,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,14.429,#D,2942.19,OP14,4203.13,OP14,80,OP14,1/01/1990,CONF,,,WWP011491,IN,PS81,RMCO,0,,,
